depmap_id,cell_line_display_name,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
ACH-000324,JHOC5,-0.13365777,-0.82419443,0.28890246,-0.119113274,0.30219576,0.26392847,0.2661023,0.73409474,0.47331047,-0.04012694,-0.24979657,0.0,-0.048878483,-0.26575375,-0.077732675,-0.1431425,-0.33749712,-0.47779253,,-0.3753761,-0.664268,-1.0606613,-1.9115266,0.46340254,-0.08895948,-0.20743833,-0.43091255,0.123425774,0.57055455,0.8750582,-0.884509,0.30812854,-0.7667507,-0.6627019,-0.86234677,-1.9091145,-0.8549115,0.13700578,,0.37542698,-0.41044053,-1.3351797
ACH-000409,OVSAHO,-0.13745466,0.49447224,0.07127635,-0.50125295,-0.060812503,-0.13128483,0.03183879,0.16433635,0.13144292,-0.10995939,-0.72318786,-0.88761604,-0.29819003,-0.46354,0.12090306,-0.43639857,-0.08870457,-0.7129755,,-0.34954426,0.536784,0.54576,0.21729188,-0.55058986,0.41615012,0.62101287,0.38160902,-1.3087271,-0.378362,0.6111988,-1.0736461,-0.7188755,,,-0.40050355,-0.57937545,-0.13246849,0.017550612,,0.027653957,-0.11094027,0.18641959
ACH-000430,TYKNU,0.0687606,0.13759738,0.21112718,-1.4041919,-0.331163,0.06611884,0.6713801,-0.25811794,-0.5384923,-0.46828967,-0.48035815,-0.5089186,-0.23355733,-0.5169114,-0.028071474,-0.77586657,-0.49336275,-0.757144,1.0213835,-0.29142562,0.08661074,-0.75689274,-0.3042476,-0.31902543,-0.033026673,0.78940004,0.7590633,0.20270562,0.05884888,0.4451492,0.2629901,0.41541472,-0.23166303,-0.042313837,-0.48843178,-0.9389223,-0.33905712,-0.13273664,-0.2906185,-0.11050815,-0.16409145,0.118638314
ACH-000443,OVKATE,-0.14187546,0.1134569,-0.019772355,-0.5598332,-0.19163463,-0.011065625,0.21683387,0.31791127,-0.7371101,-1.3261669,-0.97805405,-0.641772,-0.7679314,-1.278493,-0.091359936,-0.4716116,-1.2541921,-1.0489451,,-0.005282832,0.69856584,0.966086,0.71928364,-0.26651,0.3667108,0.6032214,-0.001718109,-1.005526,-0.76232046,-0.31310725,-1.7753886,-1.7383503,-1.267614,-0.5671719,-0.21101406,-0.1584076,-0.00802286,-0.25476485,,-0.24792801,-0.64496106,-0.948022
ACH-000460,SNU8,-0.4249183,-0.11499452,-0.24872153,,-0.18296798,-0.09437764,-0.29012796,0.3619701,-0.48189396,-0.3630025,-0.7361044,-0.61154115,-0.32279542,-0.24037783,0.011833362,-0.6457951,0.029956473,-0.4679743,,-0.047494266,-0.19268888,-0.12628436,-0.38187838,-0.041930616,-0.13136117,0.36184382,0.029070864,-0.38824034,-0.1273206,0.17362782,-0.39519542,-0.07831273,-0.7625982,-0.47656766,-1.0012689,-0.8644404,0.6726122,0.053554747,,0.015170824,-0.13365787,-0.42182
ACH-000524,KURAMOCHI,0.018376399,0.5468657,0.2559441,0.12409582,0.12122558,0.44498327,0.4770904,0.5159866,0.81464046,-0.72322464,-0.3404296,-0.3114078,0.078414515,-0.03541662,0.262823,0.74099445,-0.031474262,0.57367647,,-0.004251717,0.22409166,0.5609833,-0.4795048,-0.05081047,0.42776987,0.6762406,0.027006397,-0.7746178,0.034162674,0.6674595,-0.4459204,-0.23151052,-0.1159797,0.909558,1.1140227,0.62058663,0.85941964,0.14667334,,-0.0557626,0.51711464,1.0786762
ACH-000527,OVISE,-0.2861169,0.32605258,0.21894233,0.32774803,0.48989636,0.45828763,-0.20542261,-0.14473395,0.9030128,0.3475875,-0.038894773,-0.61848074,-0.3286243,0.5714475,0.15729624,0.18400368,0.35359988,0.46214393,1.0351945,0.32932538,0.32478428,1.8753035,0.96200925,-0.060237147,0.20876287,0.37247762,0.43819556,0.3684746,0.2548727,0.30160385,0.3107239,0.20914288,0.21969563,0.13804653,0.45784542,2.9814098,0.44511086,0.17312616,0.116868384,0.11102719,0.21111032,0.2702281
ACH-000542,HEYA8,-0.01865218,0.16095018,0.035690136,0.8015865,-0.3251674,0.036785837,0.010439889,0.7057827,-0.43917388,-0.30901387,0.05950839,0.14707918,0.6936417,-0.4207123,0.18203335,-0.09627849,0.2532432,-0.11159495,-2.482974,0.24744521,0.5630863,0.94133174,0.32530135,0.07715846,0.46503505,0.9945958,0.11982071,-0.5484238,-0.10061937,0.5004933,-1.3592513,-0.14848733,-1.0695629,-0.06917087,0.8697118,0.42274898,-0.5250458,0.11185502,0.083103314,0.06268838,0.44604558,0.69148946
ACH-000574,FUOV1,0.41046312,0.7502142,0.44553074,0.7703504,-0.20316516,0.13964172,0.37331185,0.23653351,0.6150845,0.21045324,0.5497036,-0.46179268,0.91102064,0.6146109,0.019372663,0.38439476,0.36261848,0.5646736,,-1.4274626,0.014963901,0.7965723,0.041816212,-1.472815,0.43367288,1.2323506,0.3514851,-1.8958696,-0.26513317,1.5954967,-2.5120106,-1.2781361,,-0.80104023,0.9093935,0.20283213,0.6171236,0.09090891,-0.44710657,0.27383357,0.38054046,0.0
ACH-000608,COV644,0.07368055,0.44395128,0.78807396,0.5550191,-0.05093687,0.15460967,0.5551392,0.12116471,0.41798404,-0.13116403,0.011661978,0.49083447,0.9337238,0.21196909,0.1698813,0.3914098,-0.35704002,-0.08873384,0.2955557,-0.16033764,-0.70196515,-0.6220362,0.54567087,-0.2860383,-1.0836008,-0.5142036,1.0777982,0.5161951,0.09930944,-0.36491883,1.6348027,0.7127538,-0.5779466,-1.2366424,-0.7068587,-1.105358,-0.45522287,0.27715644,0.2918682,-0.49684995,0.57509714,0.76410043
